2025-07-15 19:07:32.638 | INFO     | utils.logging_config:setup_module_logger:78 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:07:32.638 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:07:49.500 | INFO     | utils.logging_config:setup_module_logger:81 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:07:49.500 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:08:05.148 | INFO     | utils.logging_config:setup_module_logger:84 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:08:05.149 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:08:26.909 | INFO     | utils.logging_config:setup_module_logger:87 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:08:26.909 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:08:47.167 | INFO     | utils.logging_config:setup_module_logger:90 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:08:47.167 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:09:11.043 | INFO     | utils.logging_config:setup_module_logger:93 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:09:11.043 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:09:49.383 | INFO     | utils.logging_config:setup_module_logger:96 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:09:49.383 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:10:15.618 | INFO     | utils.logging_config:setup_module_logger:99 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:10:15.618 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-15 19:13:18.625 | INFO     | utils.logging_config:setup_module_logger:102 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/workspace/AscendAI/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-15 19:13:18.625 | WARNING  | agent_core.task_queue:_load_snapshot:180 - [TaskQueue] Failed to load queue snapshot: [Errno 2] No such file or directory: 'run/checkpoints/task_queue.json'
2025-07-20 00:40:44.425 | INFO     | utils.logging_config:setup_module_logger:99 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/Ascend-Institute/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-20 00:40:44.425 | INFO     | agent_core.task_queue:_load_snapshot:178 - [TaskQueue] Queue restored from snapshot.
2025-07-20 00:42:53.183 | INFO     | utils.logging_config:setup_module_logger:99 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/Ascend-Institute/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-20 00:42:53.183 | INFO     | agent_core.task_queue:_load_snapshot:178 - [TaskQueue] Queue restored from snapshot.
2025-07-20 00:43:21.656 | INFO     | utils.logging_config:setup_module_logger:99 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/Ascend-Institute/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-20 00:43:21.656 | INFO     | agent_core.task_queue:_load_snapshot:178 - [TaskQueue] Queue restored from snapshot.
2025-07-20 00:43:46.187 | INFO     | utils.logging_config:setup_module_logger:99 - [LOGGING] Module logger initialized for agent_core -> /home/statiksmoke8/Ascend-Institute/GremlinGPT/data/logs/agent_core/agent_core.log
2025-07-20 00:43:46.187 | INFO     | agent_core.task_queue:_load_snapshot:178 - [TaskQueue] Queue restored from snapshot.
